zip_code,state_code,state_name,city,time_zone
99665,AK,Alaska,Shageluk,America/Anchorage
99675,AK,Alaska,Takotna,America/Anchorage
99691,AK,Alaska,Nikolai,America/Anchorage
99720,AK,Alaska,Allakaket,America/Anchorage
99722,AK,Alaska,Arctic Village,America/Anchorage
99724,AK,Alaska,Beaver,America/Anchorage
99726,AK,Alaska,Bettles Field,America/Anchorage
99730,AK,Alaska,Central,America/Anchorage
99733,AK,Alaska,Circle,America/Anchorage
99740,AK,Alaska,Fort Yukon,America/Anchorage
99741,AK,Alaska,Galena,America/Anchorage
99745,AK,Alaska,Hughes,America/Anchorage
99746,AK,Alaska,Huslia,America/Anchorage
99748,AK,Alaska,Kaltag,America/Anchorage
99754,AK,Alaska,Koyukuk,America/Anchorage
99756,AK,Alaska,Manley Hot Springs,America/Anchorage
99757,AK,Alaska,Lake Minchumina,America/Anchorage
99758,AK,Alaska,Minto,America/Anchorage
99760,AK,Alaska,Nenana,America/Anchorage
99765,AK,Alaska,Nulato,America/Anchorage
99767,AK,Alaska,Rampart,America/Anchorage
99768,AK,Alaska,Ruby,America/Anchorage
99774,AK,Alaska,Stevens Village,America/Anchorage
99777,AK,Alaska,Tanana,America/Anchorage
99781,AK,Alaska,Venetie,America/Anchorage
99788,AK,Alaska,Chalkyitsik,America/Anchorage
36003,AL,Alabama,Autaugaville,America/Chicago
36006,AL,Alabama,Billingsley,America/Chicago
36008,AL,Alabama,Booth,America/Chicago
36051,AL,Alabama,Marbury,America/Chicago
36066,AL,Alabama,Prattville,America/Chicago
36067,AL,Alabama,Prattville,America/Chicago
36068,AL,Alabama,Prattville,America/Chicago
36749,AL,Alabama,Jones,America/Chicago
36507,AL,Alabama,Bay Minette,America/Chicago
36511,AL,Alabama,Bon Secour,America/Chicago
36526,AL,Alabama,Daphne,America/Chicago
36527,AL,Alabama,Spanish Fort,America/Chicago
36530,AL,Alabama,Elberta,America/Chicago
36532,AL,Alabama,Fairhope,America/Chicago
